iter	Passed	Remaining
399	74776	37388
400	74950	37195
401	75135	37007
402	75347	36832
403	75587	36671
404	75811	36501
405	76025	36327
406	76276	36170
407	76448	35975
408	76619	35780
409	76789	35585
410	76959	35390
411	77131	35195
412	77317	35007
413	77481	34810
414	77660	34619
415	77826	34423
416	78004	34232
417	78169	34035
418	78350	33845
419	78511	33647
420	78716	33468
421	78958	33304
422	79186	33134
423	79403	32959
424	79605	32778
425	79799	32594
426	79982	32404
427	80166	32216
428	80349	32027
429	80516	31832
430	80697	31642
431	80867	31448
432	81045	31257
433	81216	31064
434	81397	30874
435	81574	30683
436	81751	30493
437	81927	30301
438	82088	30105
439	82265	29914
440	82434	29721
441	82621	29534
442	82801	29345
443	82983	29156
444	83149	28962
445	83406	28799
446	83669	28638
447	83863	28453
448	84041	28263
449	84214	28071
450	84416	27889
451	84580	27694
452	84755	27503
453	84928	27311
454	85118	27125
455	85286	26932
456	85473	26745
457	85638	26551
458	85816	26362
459	85991	26171
460	86163	25979
461	86326	25785
462	86504	25596
463	86672	25404
464	86846	25213
465	87009	25020
466	87189	24831
467	87352	24637
468	87527	24448
469	87701	24257
470	87871	24066
471	88048	23877
472	88227	23689
473	88412	23502
474	88578	23310
475	88755	23121
476	88922	22929
477	89099	22740
478	89261	22548
479	89440	22360
480	89616	22171
481	89795	21983
482	89964	21792
483	90137	21603
484	90328	21418
485	90588	21249
486	90798	21068
487	91017	20889
488	91275	20718
489	91529	20547
490	91771	20372
491	92030	20201
492	92212	20013
493	92409	19828
494	92587	19639
495	92765	19450
496	92941	19261
497	93120	19072
498	93330	18890
499	93510	18702
500	93737	18522
501	93930	18336
502	94128	18152
503	94317	17965
504	94510	17779
505	94679	17588
506	94863	17401
507	95063	17216
508	95237	17026
509	95421	16839
510	95681	16664
511	95858	16475
512	96030	16285
513	96213	16097
514	96388	15908
515	96600	15725
516	96796	15539
517	96997	15354
518	97174	15165
519	97382	14981
520	97553	14792
521	97762	14608
522	97942	14419
523	98123	14231
524	98302	14043
525	98477	13854
526	98660	13666
527	98847	13479
528	99027	13291
529	99194	13101
530	99368	12912
531	99543	12723
532	99792	12544
533	100013	12361
534	100192	12172
535	100382	11985
536	100560	11797
537	100788	11614
538	101032	11434
539	101274	11252
540	101465	11065
541	101673	10880
542	101851	10691
543	102036	10503
544	102213	10315
545	102392	10126
546	102568	9938
547	102753	9750
548	102948	9563
549	103165	9378
550	103349	9190
551	103526	9002
552	103721	8815
553	103893	8626
554	104102	8440
555	104332	8256
556	104529	8069
557	104764	7885
558	104997	7701
559	105187	7513
560	105372	7325
561	105568	7138
562	105759	6950
563	105969	6764
564	106141	6575
565	106319	6386
566	106492	6197
567	106683	6010
568	106855	5821
569	107063	5634
570	107234	5446
571	107438	5259
572	107610	5070
573	107797	4882
574	107983	4694
575	108216	4509
576	108384	4320
577	108579	4132
578	108769	3945
579	108984	3758
580	109165	3569
581	109341	3381
582	109517	3193
583	109697	3005
584	109879	2817
585	110084	2630
586	110277	2442
587	110503	2255
588	110673	2066
589	110858	1878
590	111039	1690
591	111217	1502
592	111389	1314
593	111571	1126
594	111768	939
595	112009	751
596	112244	564
597	112446	376
598	112669	188
599	112895	0
