iter	MAPE	RMSE
292	0.05341925419	10116.78091
293	0.05339125417	10113.06184
294	0.05334852196	10110.13226
295	0.0532931056	10106.62357
296	0.05329241249	10104.72814
297	0.0532579659	10100.92528
298	0.05323057927	10097.51472
299	0.05321105683	10095.19636
300	0.0530935653	10092.44483
301	0.05292476486	10087.53419
302	0.05286569645	10082.64205
303	0.05283763379	10080.39417
304	0.05278077735	10077.89372
305	0.05277156675	10074.79079
306	0.05274267492	10072.83485
307	0.05260190324	10069.29491
308	0.05258701961	10064.57272
309	0.05255421931	10062.65615
310	0.05254149214	10058.47613
311	0.05253928939	10055.61782
312	0.05250711572	10051.97882
313	0.05247041666	10049.60463
314	0.05246948695	10047.78389
315	0.05245257671	10040.86916
316	0.0524034801	10036.59515
317	0.05234911199	10033.25206
318	0.05234729979	10029.42385
319	0.05225924309	10025.42437
320	0.05222888417	10022.38456
321	0.05222197984	10019.20529
322	0.05222221627	10018.09294
323	0.05201527052	10013.63833
324	0.05196457674	10011.32106
325	0.05192743356	10008.72128
326	0.05191902748	10003.99578
327	0.05188558888	10000.59152
328	0.05186557454	9996.112556
329	0.05185327288	9992.563122
330	0.05166831436	9988.615818
331	0.05166165436	9985.174751
332	0.05161161928	9983.091849
333	0.05143918514	9979.108055
334	0.05137158434	9976.637548
335	0.05134381657	9973.13415
336	0.05131144597	9970.914494
337	0.05129342251	9968.323529
338	0.05126399629	9965.303975
339	0.05117777552	9962.141539
340	0.05115484476	9959.448242
341	0.0511509306	9957.356937
342	0.05108587725	9955.648044
343	0.05106506771	9953.449226
344	0.05103971113	9952.024251
345	0.05102031239	9948.878794
346	0.05096664171	9946.55413
347	0.05094611918	9942.717754
348	0.05088719855	9939.28116
349	0.05086142404	9936.958256
350	0.05076793081	9934.08116
351	0.05068808005	9930.606596
352	0.05064231582	9928.631964
353	0.05053355853	9926.081974
354	0.05046880884	9924.319086
355	0.0504438753	9920.502219
356	0.05042266472	9916.545776
357	0.05039505482	9914.794493
358	0.05036710698	9913.105476
359	0.0503242822	9909.619278
360	0.05019998187	9906.080727
361	0.05017341121	9904.950867
362	0.05016825324	9903.009492
363	0.05009130761	9900.180051
364	0.05008368582	9897.372175
365	0.05001786556	9895.433237
366	0.05000747353	9894.452631
367	0.04999289825	9891.556507
368	0.04995530816	9889.995341
369	0.04990148525	9887.822662
370	0.04989692053	9884.538313
371	0.04983082456	9882.021493
372	0.04975216804	9879.536639
373	0.04971363202	9878.54612
374	0.04959195707	9875.528336
375	0.04955590716	9873.400521
376	0.04949869529	9871.601822
377	0.04946134108	9869.80865
378	0.0493904908	9867.089644
379	0.04936101201	9864.153819
380	0.0493518004	9861.920837
381	0.04934144153	9860.047847
382	0.04931737304	9858.028828
383	0.04929986079	9855.097003
384	0.04923607643	9852.202125
385	0.0492246351	9849.870384
386	0.04922249715	9848.947864
387	0.0491987217	9847.483176
388	0.04918773697	9846.006396
389	0.04917576634	9843.010651
390	0.04914758503	9840.353331
391	0.04911340961	9836.817243
392	0.04907173381	9834.680119
393	0.04904639233	9832.116177
394	0.04896031887	9829.556472
395	0.04894160559	9826.758323
396	0.04889004977	9824.70312
397	0.0488540347	9822.522955
398	0.04884523574	9820.567335
399	0.04880804163	9819.155588
400	0.04875093459	9816.78504
401	0.04872585844	9815.676245
402	0.04871650384	9813.970431
403	0.04871467311	9811.982507
404	0.04869895146	9811.169922
405	0.04869146334	9808.676584
406	0.04865694299	9806.819004
407	0.04864903573	9804.384971
408	0.04864533755	9803.366216
409	0.04852063166	9800.767789
410	0.04848327715	9799.275485
411	0.04842519591	9797.496428
412	0.04840674303	9795.663518
413	0.04833823584	9794.404665
414	0.04832066844	9791.888028
415	0.04831986332	9790.222031
416	0.04831202961	9788.298443
417	0.04828533489	9787.203231
418	0.04826773934	9784.952655
419	0.04825905505	9782.650879
420	0.04820359914	9780.471825
421	0.04818857906	9778.31524
422	0.04814489103	9777.09135
423	0.04812081154	9776.195815
424	0.04811388536	9774.025513
425	0.04808790363	9771.728731
426	0.0480845063	9770.054977
427	0.04807715665	9768.307644
428	0.04806701382	9766.488424
429	0.04803701246	9765.631263
430	0.04800420218	9763.525878
431	0.04797271278	9762.528599
432	0.04796648434	9759.911498
433	0.04794690436	9758.366189
434	0.04793170437	9757.648942
435	0.04788900948	9756.353844
436	0.04783126762	9754.246293
437	0.04782849127	9752.140324
438	0.04779851615	9751.451382
439	0.04775134923	9750.09992
440	0.04773130159	9749.050349
441	0.04770611695	9747.898931
442	0.0476759635	9746.884202
443	0.04765952932	9745.738939
444	0.04765125051	9745.139468
445	0.04757222501	9743.885731
446	0.04753781008	9742.213898
447	0.04751366118	9741.278287
448	0.04749018638	9739.061758
449	0.04747988661	9738.200171
450	0.04746272854	9736.059518
451	0.04744460264	9735.379685
452	0.04744398409	9734.899886
453	0.04741833713	9734.027618
454	0.04741559702	9732.433382
455	0.0474147052	9731.601072
456	0.0474063784	9729.586136
457	0.04737888268	9728.126262
458	0.04735931509	9727.144302
459	0.04734084252	9725.314398
460	0.04730922655	9724.448295
461	0.04730546593	9723.102887
462	0.04729254001	9721.831262
463	0.04727932555	9720.051005
464	0.04727569079	9719.189972
465	0.04726956734	9718.148097
466	0.04725620882	9716.873438
467	0.04724679992	9715.596552
468	0.04724028244	9713.218154
469	0.04721823192	9712.185268
470	0.0471813289	9711.192369
471	0.04717931293	9710.632551
472	0.04715925755	9709.291889
473	0.04712410376	9707.725073
474	0.04708872888	9707.079357
475	0.04707441516	9705.940257
476	0.04707274638	9703.895818
477	0.04705189629	9701.721788
478	0.04704892914	9700.143055
479	0.04698925001	9698.971965
480	0.04695388281	9697.18241
481	0.04693046014	9695.906959
482	0.04692644166	9693.905954
483	0.04691762893	9693.145087
484	0.04690722191	9692.025022
485	0.04687910899	9690.376828
486	0.04685209801	9688.567228
487	0.04684365737	9687.594571
488	0.04679889084	9686.244938
489	0.04673491174	9684.216799
490	0.04672925397	9682.891747
491	0.04669895313	9681.271181
492	0.04669034374	9679.729303
493	0.04668866899	9679.186227
494	0.04663436601	9677.643441
495	0.04661024019	9677.035526
496	0.04659214614	9676.217804
497	0.04658266949	9675.190586
498	0.04657950641	9674.705198
499	0.04655272324	9672.90981
500	0.04652603878	9671.139175
501	0.04652158657	9669.94074
502	0.04647414567	9669.026516
503	0.04640978434	9667.495497
504	0.04638632197	9666.233986
505	0.04638251457	9665.608269
506	0.04634938895	9663.841471
507	0.04630221786	9662.669642
508	0.04629825892	9661.331239
509	0.04628825397	9660.335903
510	0.04628454785	9658.997521
511	0.04626675129	9658.490639
512	0.0462658839	9657.989708
513	0.04625526921	9657.358644
514	0.04622270105	9655.816886
515	0.04619596092	9654.974088
516	0.04617790204	9653.346749
517	0.04617460035	9652.259118
518	0.04613428057	9651.129662
519	0.04610240735	9649.608882
520	0.04608517096	9649.097021
521	0.04605427448	9648.202507
522	0.04605153328	9646.991349
523	0.04603662983	9645.536473
524	0.04600536531	9644.777757
525	0.04598118798	9644.186931
526	0.0459740198	9642.961657
527	0.04596270912	9641.979019
528	0.04595879109	9641.418185
529	0.04594036393	9640.703261
530	0.04594027894	9640.283396
531	0.04590474448	9639.016165
532	0.04590187577	9638.59789
533	0.04587252939	9638.088116
534	0.04585936323	9637.221171
535	0.04585586452	9636.278134
536	0.04584660118	9634.496955
537	0.04583572959	9633.431899
538	0.04581436018	9631.840188
539	0.04580291192	9630.469313
540	0.04575268987	9629.518444
541	0.045737832	9627.951782
542	0.04572352053	9626.642606
543	0.04568325783	9625.754555
544	0.0456749308	9624.750102
545	0.04566258688	9623.841709
546	0.04563164922	9622.880154
547	0.0456064209	9621.699581
548	0.04560570976	9620.603136
549	0.04559660684	9619.937117
550	0.04558599072	9619.053256
551	0.04557064823	9618.044604
552	0.04553491084	9617.530583
553	0.0455247017	9616.335294
554	0.04551152452	9615.913609
555	0.04550491827	9614.979934
556	0.04549616262	9614.259743
557	0.04548685987	9613.250466
558	0.04548494398	9611.940535
559	0.04548384914	9611.043816
560	0.04547498879	9610.029563
561	0.04546354752	9608.81338
562	0.0454297227	9608.05459
563	0.04538903497	9606.727473
564	0.04538245669	9606.037258
565	0.0453753692	9605.255066
566	0.0453627866	9604.228267
567	0.04532424722	9603.093643
568	0.04528992693	9601.829876
569	0.04528442159	9601.091689
570	0.04528176981	9600.199613
571	0.04527937801	9598.908023
572	0.04526512969	9598.419683
573	0.04525975094	9597.283136
574	0.04525559273	9596.47661
575	0.04523413361	9595.522013
576	0.04521642606	9594.880127
577	0.04521133921	9593.251386
578	0.04517932922	9591.60382
579	0.04516329862	9590.757956
580	0.04515670845	9589.486778
581	0.04515485003	9588.526115
582	0.04512897274	9587.540665
583	0.0451143716	9586.366256
584	0.04511217541	9586.036012
585	0.04509117894	9585.275416
586	0.04508806373	9584.673753
587	0.0450875597	9583.868596
588	0.04508401044	9583.175573
589	0.04505882533	9582.226392
590	0.0450438938	9580.926334
591	0.04504078065	9580.214073
592	0.04503890054	9579.45159
593	0.04502567762	9578.76903
594	0.04500373041	9577.647105
595	0.04496577365	9576.617446
596	0.04493703941	9576.189463
597	0.04492933844	9575.635858
598	0.04492293348	9574.602048
599	0.04490975829	9573.703846
