,Address,AdmArea,District,x,y,Category
51,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.500085544988,55.66495043166,Дом культуры или клуб
52,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.467947147857,55.702648904624,Дом культуры или клуб
53,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.405845568677,55.655778329418,Дом культуры или клуб
54,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.480608540611,55.736913017969,Дом культуры или клуб
55,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.490982,55.734192,Дом культуры или клуб
56,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.584078154433,55.609425008018,Дом культуры или клуб
57,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.661362267323,55.815630696525,Дом культуры или клуб
58,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.54167941001902,55.47332605487446,Дом культуры или клуб
59,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.419352890719,55.748935721834,Дом культуры или клуб
60,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.822047,55.734755,Дом культуры или клуб
61,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.643058,55.862793,Дом культуры или клуб
62,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,36.94057284155967,55.466281803900785,Дом культуры или клуб
63,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.749298166554,55.731238718267,Дом культуры или клуб
64,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.20654188940114,55.59401640651746,Дом культуры или клуб
65,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.445581286433,55.866812752497,Дом культуры или клуб
66,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.496291,55.79306,Дом культуры или клуб
67,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.705875583032,55.610823808924,Дом культуры или клуб
68,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.404496,55.811886,Дом культуры или клуб
69,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.685467,55.855042,Дом культуры или клуб
70,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.515734843242,55.738900440717,Дом культуры или клуб
71,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.630499,55.662187,Дом культуры или клуб
72,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.52098553372947,55.44950206890431,Дом культуры или клуб
73,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.149403847068,55.987172377455,Дом культуры или клуб
74,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.594132007995,55.790166622746,Дом культуры или клуб
75,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.49232,55.79097,Дом культуры или клуб
76,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.764539223526,55.824185963516,Дом культуры или клуб
77,"город Москва, Свободный проспект, дом 19",Восточный административный округ,район Ивановское,37.6559869573,55.759133071742,Дом культуры или клуб
78,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.669169479562,55.739641402986,Выставочный зал
79,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.525589645596,55.644896049273,Выставочный зал
80,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.685992323696,55.58396705478,Выставочный зал
81,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.492193762426,55.788458979373,Выставочный зал
82,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.661653549637,55.714559143295,Выставочный зал
83,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.600310837053,55.676369668674,Выставочный зал
84,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.428977759194,55.84889723436,Выставочный зал
85,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.512935741337,55.792942379791,Выставочный зал
86,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.770201025889,55.790929260336,Выставочный зал
87,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.639260047146,55.754078249934,Выставочный зал
88,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.819238352959,55.708307793018,Выставочный зал
89,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.734228464044,55.813850219609,Выставочный зал
90,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.774451313982,55.757869321884,Выставочный зал
91,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.705995903518,55.659479960349,Выставочный зал
92,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.647012265357,55.661467274234,Выставочный зал
93,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.658862936603,55.835933312341,Выставочный зал
94,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.610172208205,55.712852435189,Выставочный зал
95,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.396457340067,55.651248514282,Выставочный зал
96,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.461236592156,55.718347795579,Выставочный зал
97,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.618713989258,55.657069513646,Выставочный зал
98,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.59449857902808,55.74912982953155,Выставочный зал
99,"город Москва, Таганская улица, дом 31/22",Центральный административный округ,Таганский район,37.6496720457062,55.73620881451942,Выставочный зал
100,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.587494953455,55.867530608078,Библиотека
101,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.685992323696,55.58396705478,Библиотека
102,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.586619245532,55.708618529789,Библиотека
103,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.477928135078,55.64615629859,Библиотека
104,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.33099555747555,55.65902831214797,Библиотека
105,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.78295716528862,55.70854132781237,Библиотека
106,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.753637185603,55.621632342408,Библиотека
107,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.461312784202,55.717991008031,Библиотека
108,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.512935741337,55.792942379791,Библиотека
109,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.86755723091719,55.81724705446143,Библиотека
110,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.727070318028,55.609107898023,Библиотека
111,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.566800864364,55.81236883305,Библиотека
112,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.628936227232,55.897588458578,Библиотека
113,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.394841259218,55.710737247352,Библиотека
114,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.74368003683631,55.6974606049943,Библиотека
115,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.668711585032,55.858476067348,Библиотека
116,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.746293702145,55.701937362737,Библиотека
117,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.578212211505,55.78586772485,Библиотека
118,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.230517291311,55.988604764437,Библиотека
119,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.516483864996,55.819236729226,Библиотека
120,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.569783020538,55.845149102555,Библиотека
121,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.78766539562296,55.764694641390314,Библиотека
122,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.677837332495,55.63141088834,Библиотека
123,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.67062283240562,55.59849203550934,Библиотека
124,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.715997056748,55.819621345023,Библиотека
125,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.811929716856,55.789142178529,Библиотека
126,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.477696074548,55.56999062775,Библиотека
127,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.796236287368,55.814218191016,Библиотека
128,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.602437208661,55.781383274934,Библиотека
129,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.494811538157,55.681119174588,Библиотека
130,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.179640342854,55.984984860466,Библиотека
131,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.576428155472,55.794215033511,Библиотека
132,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.493699322615,55.874581825416,Библиотека
133,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.705917715993,55.617349334364,Библиотека
134,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.576278353989,55.649764870864,Библиотека
135,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.751648350704,55.735658728885,Библиотека
136,"город Москва, улица Римского-Корсакова, дом 16",Северо-Восточный административный округ,район Отрадное,37.76965724666628,55.79811183687297,Библиотека
