,Address,AdmArea,District,SeatsCount,x,y,TypeObject
6912,"город Москва, улица Лётчика Бабушкина, дом 1, корпус 3",Северо-Восточный административный округ,Бабушкинский район,20,37.671534,55.854143,бар
6913,"город Москва, Манежная площадь, дом 1, строение 2",Центральный административный округ,Тверской район,34,37.61460393991687,55.755780495666365,кафе
6914,"город Москва, поселение Первомайское, деревня Рогозинино, Луговая улица, домовладение 20А, строение 1",Троицкий административный округ,поселение Первомайское,20,37.1883,55.539667,кафе
6915,"город Москва, улица Малая Полянка, дом 5",Центральный административный округ,район Якиманка,15,37.61729262178025,55.73516315936373,кафе
6916,"город Москва, Тверская улица, дом 4",Центральный административный округ,Тверской район,30,37.61341616193109,55.75841185863304,кафе
6917,"город Москва, Новодмитровская улица, дом 1, строение 6",Северо-Восточный административный округ,Бутырский район,23,37.584353,55.80711577228671,кафе
6918,"город Москва, Большая Новодмитровская улица, дом 36, строение 2",Северо-Восточный административный округ,Бутырский район,50,37.58534499999999,55.80522377173495,кафе
6919,"город Москва, Малая Семёновская улица, дом 11/2, строение 4",Восточный административный округ,район Преображенское,30,37.71056483789564,55.78557399590184,кафе
6920,"город Москва, Братеевская улица, дом 16, корпус 3",Южный административный округ,район Братеево,98,37.76678234951123,55.63340581195444,кафе
6921,"город Москва, Цветной бульвар, дом 7, строение 1",Центральный административный округ,Тверской район,25,37.6206572465441,55.76931853367291,кафе
6922,"город Москва, 1-я Тверская-Ямская улица, дом 21",Центральный административный округ,Тверской район,120,37.58712287301067,55.774569265198764,кафе
6923,"город Москва, улица Петровка, дом 17, строение 1",Центральный административный округ,Тверской район,70,37.61645798789383,55.7645023092319,кафе
6924,"город Москва, Смольная улица, дом 24Б",Северный административный округ,район Ховрино,40,37.482665236246866,55.86095613866756,кафе
6925,"город Москва, улица Юных Ленинцев, дом 42, строение 1",Юго-Восточный административный округ,район Кузьминки,166,37.759120465707674,55.700743742268095,кафе
6926,"город Москва, Ореховый бульвар, дом 22А",Южный административный округ,район Зябликово,10,37.732684625741356,55.61204703333708,кафе
6927,"город Москва, Онежская улица, дом 18",Северный административный округ,Головинский район,40,37.52051649100739,55.85069279500544,кафе
6928,"город Москва, поселение Внуковское, улица Корнея Чуковского, дом 5",Новомосковский административный округ,поселение Внуковское,7,37.326083,55.637464,кафе
6929,"город Москва, улица Народного Ополчения, дом 34, строение 1",Северо-Западный административный округ,район Хорошёво-Мнёвники,45,37.48535983240335,55.785958701322336,столовая
6930,"город Москва, Причальный проезд, дом 7, строение 1",Центральный административный округ,Пресненский район,60,37.51769686558925,55.759341010661565,столовая
6931,"город Москва, Ореховый бульвар, дом 14, корпус 3",Южный административный округ,район Орехово-Борисово Южное,0,37.72010315555192,55.609721334303636,предприятие быстрого обслуживания
6932,"город Москва, город Зеленоград, Панфиловский проспект, дом 6А",Зеленоградский административный округ,район Матушкино,15,37.19989260209861,56.008842540230106,предприятие быстрого обслуживания
6933,"город Москва, улица Руднёвка, дом 19",Восточный административный округ,район Косино-Ухтомский,0,37.887440340557966,55.7166832043693,предприятие быстрого обслуживания
6934,"город Москва, Россошанский проезд, дом 3",Южный административный округ,район Чертаново Южное,0,37.61146201316153,55.60046618415729,предприятие быстрого обслуживания
6935,"город Москва, поселение Внуковское, улица Лётчика Грицевца, дом 4",Новомосковский административный округ,поселение Внуковское,6,37.30373,55.623071,предприятие быстрого обслуживания
6936,"город Москва, Судостроительная улица, дом 31, корпус 1",Южный административный округ,район Нагатинский Затон,0,37.68233166083762,55.68335140919308,предприятие быстрого обслуживания
6937,"город Москва, улица Мещерякова, дом 7, строение 1",Северо-Западный административный округ,район Покровское-Стрешнево,4,37.449607433135206,55.83247826464165,буфет
6938,"город Москва, улица Добролюбова, дом 3, строение 1",Северо-Восточный административный округ,Бутырский район,98,37.59162519772711,55.81025345663804,буфет
6939,"город Москва, Варшавское шоссе, дом 28А",Южный административный округ,Нагорный район,40,37.61928888916051,55.68318790938937,кафетерий
6940,"город Москва, Электролитный проезд, дом 3Б, строение 6",Южный административный округ,Нагорный район,8,37.61308849903846,55.67587038115617,кафе
6941,"город Москва, Судостроительная улица, дом 32",Южный административный округ,район Нагатинский Затон,0,37.68558402458005,55.68365171157089,кафе
6942,"город Москва, улица Алабяна, дом 10, корпус 2",Северный административный округ,район Сокол,10,37.50368861364417,55.80016101946445,кафе
6943,"город Москва, улица Крымский Вал, дом 8",Центральный административный округ,район Якиманка,5,37.608768356659084,55.73137895143221,кафе
6944,"город Москва, улица Шаболовка, дом 25, корпус 2",Центральный административный округ,район Якиманка,20,37.610962891042696,55.7223745230944,кафе
6945,"город Москва, площадь Киевского Вокзала, дом 1",Западный административный округ,район Дорогомилово,10,37.56634043396508,55.743081347626315,кафе
6946,"город Москва, Тверская улица, дом 27, строение 2",Центральный административный округ,Тверской район,10,37.59755043503548,55.7686472337689,кафе
6947,"город Москва, Южнобутовская улица, дом 50, корпус 4",Юго-Западный административный округ,район Южное Бутово,0,37.53239471305532,55.54068898665301,предприятие быстрого обслуживания
6948,"город Москва, проспект Мира, дом 146",Северо-Восточный административный округ,Алексеевский район,4,37.64206284204237,55.82064088990777,магазин (отдел кулинарии)
6949,"город Москва, Ангелов переулок, дом 8",Северо-Западный административный округ,район Митино,10,37.346228740309336,55.85344122781129,магазин (отдел кулинарии)
6950,"город Москва, Тверская улица, дом 19А",Центральный административный округ,Тверской район,28,37.60276822339601,55.76581113676809,кафе
6951,"город Москва, Новодмитровская улица, дом 5А, строение 2",Северо-Восточный административный округ,Бутырский район,8,37.58856800565706,55.80701656955045,предприятие быстрого обслуживания
6952,"город Москва, Вешняковская улица, дом 39Д",Восточный административный округ,район Вешняки,0,37.827106702038144,55.71784666189747,предприятие быстрого обслуживания
